	extended_tweet.full_text	retweet_count	user.screen_name	user.verified	user.followers_count	entities.hashtags	created_at	favorite_count
1379	RT @SewSister: The $11 bras only have 1 month to go. Come get your bra on @ 606 3rd Street. We'll donate $1 of each sale to the BCRC #atx	0	AsYouWish	False	4028	[{'text': 'atx', 'indices': [133, 137]}]	Tue Aug 31 14:40:58 +0000 2010	0
1380	RT @SewSister: The $11 bras only have 1 month to go. Come get your bra on @ 606 3rd Street. We'll donate $1 of each sale to the BCRC #atx	0	AustinZTA	False	488	[{'text': 'atx', 'indices': [133, 137]}]	Tue Aug 31 14:40:58 +0000 2010	0
1381	RT @SewSister: The $11 bras only have 1 month to go. Come get your bra on @ 606 3rd Street. We'll donate $1 of each sale to the BCRC #atx	0	kristinlbradley	False	1597	[{'text': 'atx', 'indices': [133, 137]}]	Tue Aug 31 12:46:37 +0000 2010	0
1382	RT @46mommas Getting close to assuming 8th place in @StBaldricks Top Teams! http://bit.ly/cW7fWZ 46 friends donate $21 each, we'll be there!	1	StBaldricks	True	73911	[]	Mon Aug 30 20:39:52 +0000 2010	0
1383	Getting close to assuming 8th place in @StBaldricks Top Teams! http://bit.ly/cW7fWZ If 46 friends donate $21 each, we'll be there!	2	46mommas	False	5300	[]	Mon Aug 30 17:30:32 +0000 2010	0
1384	Less than 11 days to raise funds for @SOLOTheSeries S1 - if each of you donate just $10 now, we'll be successful! http://tinyurl.com/2554sex	2	SOLOTheSeries	False	1235	[]	Mon Aug 30 17:30:50 +0000 2010	0
1385	Less than 11 days to raise funds for @SOLOTheSeries S1 - if each of you donate just $10 now, we'll be successful! http://tinyurl.com/2554sex	1	alliecine	False	6358	[]	Mon Aug 30 17:29:47 +0000 2010	0
1386	RT @SOLOTheSeries: Less than 11 days to raise funds for S1 - if each of you donate just $10 now, we'll be successful! http://bit.ly/cDZvTA	0	aaronkaiser	False	1725	[]	Mon Aug 30 17:34:00 +0000 2010	0
1387	Text 100857 to 73774 and we will donate $1 for every vote to Haiti Relief Fund. No cost to you! Help support the Haiti Relief Fund! RT!	0	mhardesty319	False	151	[]	Sat Aug 28 14:00:34 +0000 2010	0
1388	Please RT We'll Donate 20% to the Evening Standard Newspaper Dispossessed Fund each time a prints SOLD http://bit.ly/b2P9JW @DISTINCVISION	0	DISTINCVISION	False	184	[]	Fri Aug 27 12:41:13 +0000 2010	0
1389	The second pair that we will donate sat as a part of our #creativecloset every 50 vote pledge is drying. @thegarnercircle	1	SolePlus	False	249	[{'text': 'creativecloset', 'indices': [57, 72]}]	Fri Aug 27 06:04:18 +0000 2010	0
1390	For every follower we'll save up $5 of our own money and donate it to research for Neurology and for other causes.	6	CoinsForAChange	False	213	[]	Mon Aug 23 03:53:00 +0000 2010	0
1391	RT @golfmoolah: teaming up with caddy for a cure in which we will donate $1 for every download of our iphone app..spread the word for cancer	0	Dank34	False	98	[]	Thu Aug 26 23:07:26 +0000 2010	0
1392	RT @detainedindubai Could 300 people donate £25 each & Radha will personally match first 100 donations !! We can then book flights to Dubai	0	mnystedt	True	473	[]	Thu Aug 26 18:41:23 +0000 2010	0
1393	Please RT We'll Donate 20% to the Evening Standard Newspaper Dispossessed Fund each time a prints SOLD http://bit.ly/b2P9JW @DISTINCVISION	0	DISTINCVISION	False	184	[]	Thu Aug 26 13:56:39 +0000 2010	0
1394	Please RT We'll Donate 20% to the Evening Standard Newspaper Dispossessed Fund each time a print is SOLD http://bit.ly/b2P9JW @DISTINCVISION	0	DISTINCVISION	False	184	[]	Thu Aug 26 10:52:04 +0000 2010	0
1395	National Cream Tea Week  start 27th Aug at Denstone Hall Farm Shop. We'll donate 50p to RABI for every Cream Tea sold. http://bit.ly/awiCQd	1	DenstoneHall	False	2082	[]	Thu Aug 26 07:09:17 +0000 2010	0
1396	RT @pizzahut We will donate 4 meals 2 World Hunger Relief 4 each person who RTs ths. #pizzahut	0	Altair77t1x	False	9	[{'text': 'pizzahut', 'indices': [85, 94]}]	Thu Aug 26 04:10:54 +0000 2010	0
1397	Please RT We'll Donate 20% to the Evening Standard Newspaper Dispossessed Fund each time a print is SOLD http://bit.ly/b2P9JW @DISTINCVISION	1	DISTINCVISION	False	184	[]	Wed Aug 25 16:48:43 +0000 2010	0
